,id,subject,text,classificacao,date,retweets,favorites,permalink
1019,1.111665922278912e+18,stf squid except conduit,"@jairbolsonaro ATTENTION ALERT TO ALL STF .JA GIVES THE SAVED CONDUCT TO LULA, .STF .WILL RELEASE LULA AND 170 MORE HIGH-HAZARDOUS BANDITUDES",fake,2019-03-29 13:26,0,0,https://twitter.com/SandraMariaVil7/status/1111665922278912002
1020,1.111664554386305e+18,stf squid except conduit,"SALF CONDUCT STF THE SQUID THAT SHOULD BE RELEASED NEXT HOURS. @CarlosBolsonaro @jairbolsonaro @joicehasselmann What's up? If it is already difficult with him just complicating the prison, imagine him loose !!! Will you accept silent?",fake,2019-03-29 13:20,0,0,https://twitter.com/luizfmedeiros/status/1111664554386305025
1028,1.1112676372947804e+18,stf squid except conduit,Good Morning. It seems that it will have saved conduit for Lula to leave the political prison he is in. Via STF. https: // www. instagram.com/p/Bvjf35Ng_L7/? utm_source = ig_twitter_share & igshid = 1jk9cpjfuih4…,fake,2019-03-28 11:03,0,1,https://twitter.com/acsa100/status/1111267637294780416
1030,1.1058356987357592e+18,stf squid except conduit,"Today 11 men who did not receive a single vote from the people, will decide whether to bury the country ... Lula, Cunha, Cabral, Vacari Neto and Zé Dirceu, today they can receive, from the hands of the Supreme Court, permits / unless condemnation of impunity and detonate the Bolsonaro government. #STFnaoMateALavaJato",fake,2019-03-13 11:19,0,2,https://twitter.com/CoelhoLoreto/status/1105835698735759360
1317,1.1247726263485604e+18,mst brumadinho,"* The MST worms and petistas invade Brumadinho to STEAL what is the right of the victims of the dam tragedy! * They come from afar to occupy the lands, we have to report it urgently. pic.twitter.com/gHKcQ81xb6",fake,2019-05-04 17:27,0,0,https://twitter.com/Plankl2/status/1124772626348560384
1318,1.1246621677924924e+18,mst brumadinho,"There is a strong relationship between the MST, MAB (Movement of People Affected by Dam) and the Catholic Church. The MST's presence in Brumadinho is just to reinforce support for families affected by the dams.",true,2019-05-04 10:08,0,0,https://twitter.com/andreteixeirabq/status/1124662167792492545
1323,1.1244170827524916e+18,mst brumadinho,"Thank God things are getting on track !! The fear of encountering an armed farmer is greater than the desire to plunder. Congratulations, president. Now the MST is chasing the families of the victims in Brumadinho, parasites.",fake,2019-05-03 17:54,0,0,https://twitter.com/ThomasS14910052/status/1124417082752491521
1324,1.1243934635107328e+18,mst brumadinho,THE LACK OF CHARACTER HAS NO LIMITS ** MST invades BRUMADINHO to ..... What is the right of the victims of the dam tragedy They come from afar to claim the lands as if… https: // www. instagram.com/p/BxAwHBzB4cU/? utm_source = ig_twitter_share & igshid = qc4jav5u8jvn…,fake,2019-05-03 16:21,0,0,https://twitter.com/SimoneWitte2/status/1124393463510732800
1327,1.1243089615141396e+18,mst brumadinho,MST bums come from everything that is a place to get the land in Brumadinho you can believe it. https: // www. facebook.com/1496544215/pos ts / 10219602099151838 /…,fake,2019-05-03 10:45,0,0,https://twitter.com/EduBM1979/status/1124308961514139649
1328,1.124305517155844e+18,mst brumadinho,MST is there in Brumadinho wanting to profit.,fake,2019-05-03 10:31,0,0,https://twitter.com/InsHelena3/status/1124305517155844097
1329,1.1242968463215616e+18,mst brumadinho,Brumadinho's invasion by the MST is in search of a little mouth ... (indemnity). pic.twitter.com/HKKAqHrNMc,fake,2019-05-03 9:57,0,1,https://twitter.com/AntnioPGomes1/status/1124296846321561607
1332,1.1242748949576335e+18,mst brumadinho,"Deputy echoes false news about the MST having invaded Brumadinho to take lands from those affected by the dam "", which has already been denied: https: // twitter.com/Boatosorg/stat us / 1123979369637134336? S = 19 ... https: // twitter. com / depheliolopes / status / 1124269458309242880… """,true,2019-05-03 8:29,1,10,https://twitter.com/parlamentistas/status/1124274894957633536
1334,1.1242694583092428e+18,mst brumadinho,THE LACK OF CHARACTER HAS NO LIMITS! ** MST invade Brumadinho to ........ ??? What is the right of victims of the dam tragedy! They come from afar to claim the land as if they were victims of the dam burst. # BolsonaroÉPresidente #DeputadoHelioLopes pic.twitter.com/GwvsPE7NW2,fake,2019-05-03 8:08,214,624,https://twitter.com/depheliolopes/status/1124269458309242880
1335,1.1242649416309636e+18,mst brumadinho,MST opportunists in Brumadinho. They are questioned by the real residents. pic.twitter.com/rNpR42ECdm,fake,2019-05-03 7:50,1,2,https://twitter.com/redneckbrazil/status/1124264941630963712
1339,1.124079897784279e+18,mst brumadinho,The MST bums have now solved the misty envadi,fake,2019-05-02 19:35,0,1,https://twitter.com/Edimils11566299/status/1124079897784279046
1341,1.1240573192628184e+18,mst brumadinho,One of the anti-hoax websites debunked the rumor that the MST had stolen victims of environmental crime in Brumadinho. It is much easier for the MST to HELP victims with donations of agricultural products than to have stolen. The one who stole it was the privatized Vale.,true,2019-05-02 18:05,0,0,https://twitter.com/KKKYBWVT3QrWfdl/status/1124057319262818305
1347,1.1240247121773116e+18,mst brumadinho,"* The MST worms and petistas invade Brumadinho to STEAL what is the right of the victims of the dam tragedy! * They come from afar to occupy the lands, we have to report it urgently. pic.twitter.com/uppqeqr3K5",fake,2019-05-02 15:55,0,0,https://twitter.com/JFDalvi1/status/1124024712177311750
1348,1.1239845971533946e+18,mst brumadinho,One of the anti-hoax websites debunked the rumor that the MST had stolen victims of environmental crime in Brumadinho. It is much easier for the MST to HELP victims with donations of agricultural products than to have stolen. The one who stole it was the privatized Vale.,true,2019-05-02 13:16,0,3,https://twitter.com/rog_marcus/status/1123984597153394689
1354,1.1236822873867552e+18,mst brumadinho,WARNING THE PRESIDENT ABOUT THE MST INVASION IN BRUMADINHO .... SEND THE FFAA TO LA AND TAKE THE BANGS TO THE BULLET https: // twitter.com/BolsonaroSP/st atus / 1123353186528636928…,fake,2019-05-01 17:15,0,0,https://twitter.com/eugenioazambujo/status/1123682287386755072
1359,1.123565968180109e+18,mst brumadinho,"The MST and PT worms invade Brumadinho to STEAL what is the right of the victims of the dam tragedy. They come from afar to occupy the land, we have to report it urgently. @jairbolsonaro @xicograziano @manuelkobel @alexandregarcia @augustosnunes @BlogDoPim pic.twitter.com/ZZzh88OpSi",fake,2019-05-01 9:32,10,26,https://twitter.com/lairbiagini/status/1123565968180109312
1367,1.1233427995318476e+18,mst brumadinho,"But Brumadinho needed to be protected, devastated land and homeless properties ... Because the MST came and settled there",fake,2019-04-30 18:46,0,9,https://twitter.com/zehcampestrini/status/1123342799531847680
1368,1.1233418682622196e+18,mst brumadinho,"Now vultures, living on carrion. Sorry, not that Brumadinho is a carrion, but q the MST became butchers as if it were not enough to be terrorists.",fake,2019-04-30 18:42,0,0,https://twitter.com/zeleo46/status/1123341868262219777
1370,1.1233321059063356e+18,mst brumadinho,"@jairbolsonaro Look at the CLOWN, MST is PT, Brumadinho is in turmoil. They want to receive land that will be distributed to the families of VICTIMS ... PEOPLE WITHOUT RESPECT. HIT EVERYBODY IS LEAD TO RURAL PRISON, it's summer that they never caught a hoe pic.twitter.com/sg7vr3pWAX",fake,2019-04-30 18:03,0,0,https://twitter.com/FlviaCunha20/status/1123332105906335745
1371,1.1233227511110616e+18,mst brumadinho,"And the MST that is already in Brumadinho to make hell and want to steal what the residents are entitled to, I said about the RESIDENTS. @ pmmg190 @MPMG_Oficial @jairbolsonaro @policiafederal",fake,2019-04-30 17:26,0,0,https://twitter.com/Tontis07/status/1123322751111061510
1373,1.1232998711743488e+18,mst brumadinho,"Congratulations, President! Private property is sacred! This MST has only wanted to riot the country since the 1980s! Look what they did now in Brumadinho, a city devastated by tragedy! What invaded the city for what?",fake,2019-04-30 15:55,0,0,https://twitter.com/celia_carvalh/status/1123299871174348800
1376,1.1232603384750284e+18,mst brumadinho,REVOLTING! MST invades BRUMADINHO! https: // youtu.be/XmsJt8i_VH0,fake,2019-04-30 13:18,0,2,https://twitter.com/IzabelliOlivei1/status/1123260338475028480
1378,1.1232567864657756e+18,mst brumadinho,"MST militontos based on cachaça and mortadella invade Brumadinho, not to help but to usurp land and benefits that may be generated due to the tragedy! pic.twitter.com/laLcExA5wU",fake,2019-04-30 13:04,8,10,https://twitter.com/SaidaaDireita/status/1123256786465775618
1399,1.123011867109204e+18,mst brumadinho,"The MST bums are there in Brumadinho, trying to steal the help they receive. Riot.",fake,2019-04-29 20:51,0,4,https://twitter.com/lovemypetsbr1/status/1123011867109203968
1401,1.1230037330325464e+18,mst brumadinho,"See how far the PT and its armed wing, the MST, are invading the already devastated Brumadinho. Look at that guys! https: // twitter.com/AlineRoPina/st atus / 1122315027615297536…",fake,2019-04-29 20:18,0,0,https://twitter.com/CarlosThunder5/status/1123003733032546304
1405,1.1229764065127832e+18,mst brumadinho,"MST w / office in the USA? But they are not poor, left to their own devices, they cannot survive without agrarian reform ""? They even invaded Brumadinho because they are entitled to also receive compensation. Terrorists, this is what they are. #CoafComMoro""",fake,2019-04-29 18:30,1,3,https://twitter.com/TRMatheus/status/1122976406512783362
1420,1.1228872182579569e+18,mst brumadinho,"The government needs to take action, MST protesters are confronting and cornering the residents of Brumadinho. They invaded the city. @jairbolsonaro @SF_Moro @DefesaGovBr @policiafederal https: // twitter.com/Bolsoneas/stat us / 1122522906133770241…",fake,2019-04-29 12:35,1,1,https://twitter.com/realmerrilu/status/1122887218257956864
1427,1.1228502267741388e+18,mst brumadinho,URGENTLY SSM MST and PT's invade Brumadinho to STEAL what is the right of the victims of the dam tragedy. They come from afar to occupy the land. WE NEED TO REPORT AND DISSEMINATE ASAP. pic.twitter.com/WlAeKYg9tx,fake,2019-04-29 10:08,1,2,https://twitter.com/cdanysm/status/1122850226774138883
1428,1.1228397439207793e+18,mst brumadinho,"PRESIDENT JAIR MESSIAS BOLSONARO AND MORÃO VICE SEE WHAT IS HAPPENING IN BRUMADINHO THE MST IS INVADING LA, FOR THE LOVE OF GOD PUT EVERYONE IN THE CHAIN. pic.twitter.com/BQxn9sy4I9",fake,2019-04-29 9:27,1,0,https://twitter.com/Tete73583563/status/1122839743920779264
1436,1.1228030348479448e+18,mst brumadinho,"The MST and PT worms invade Brumadinho to STEAL what is right of the victims of the dam tragedy They come from afar to occupy the lands, we have to report it urgently. @gleisi @mariadorosario @Haddad_Fernando @LulaOficial look at the shit you guys do! @jairbolsonaro pic.twitter.com/wmcoGNeClq",fake,2019-04-29 7:01,0,0,https://twitter.com/robsonraivoso/status/1122803034847944704
1441,1.1226856363250156e+18,mst brumadinho,"It is not enough for the people of Brumadinho to have suffered from the catastrophe, now they suffer the threat of invasion by the MST and PT profiteers pic.twitter.com/4CYTzfSDvP",fake,2019-04-28 23:14,1,3,https://twitter.com/ricardomandre/status/1122685636325015552
1446,1.1226524754740428e+18,mst brumadinho,"Do not forget the MST that is already in fog, swearing to stand together that has lived there for millions of years.",fake,2019-04-28 21:03,0,3,https://twitter.com/crisecv1/status/1122652475474042881
1449,1.1226394817634508e+18,mst brumadinho,"What do you think the MST is doing in Brumadinho? Help something? Give medical and psychological assistance? Of course not. They are there to steal, strike, but they will not succeed, they are already properly mapped and if they try to establish a commune, lead will eat",fake,2019-04-28 20:11,3,3,https://twitter.com/kane_sp/status/1122639481763450881
1460,1.1225924078229832e+18,mst brumadinho,MST It was only the misty one Because the dose of the river poured much more land to help the innocent covered in mud only Israel #mst #interesseiro https: // twitter.com/tininhasouza19 1 / status / 1122588432688209920…,fake,2019-04-28 17:04,0,0,https://twitter.com/SouzaRodiney/status/1122592407822983169
1477,1.1225314412192113e+18,mst brumadinho,"The worms of Cuba, the MST and PT's invade Brumadinho to loot what is the right of the victims of the dam tragedy! They come from afar to invade the lands, we have to report… https: // www. instagram.com/p/BwzhtrcBeZ6/? utm_source = ig_twitter_share & igshid = 1h1r4lv5nue3u…",fake,2019-04-28 13:02,0,0,https://twitter.com/OsvaldoAiresBad/status/1122531441219211264
1485,1.1224925768236892e+18,mst brumadinho,"Send the National Force to Brumadinho, which was invaded by the MST to disrupt the city and harm the people already suffering in the region!",fake,2019-04-28 10:27,2,11,https://twitter.com/MmipexRenata/status/1122492576823689216
1493,1.1224849458747636e+18,mst brumadinho,How long will we be forced to see these terrorists parading through our country. They respect nothing. MST invading Brumadinho. # BrasilÉBolsonaro #MoroTePrendiBabaca pic.twitter.com/Vg6hn9WZXX,fake,2019-04-28 9:57,6,18,https://twitter.com/edusilvaFranco/status/1122484945874763778
1497,1.1224682958049524e+18,mst brumadinho,"Taking newspaper class? The left is dizzy, they don't know what else to do: The MST and PT worms invade Brumadinho to STEAL what is the right of the victims of the dam tragedy! They come from afar to occupy the land, we have to report it urgently.",fake,2019-04-28 8:51,1,19,https://twitter.com/Marques27/status/1122468295804952577
1531,1.1222501732357242e+18,mst brumadinho,"MST worms and petistas invade Brumadinho MG, to STEAL what is the right of the victims of the dam break tragedy! They leave from afar to occupy the land, of people who have not even recovered yet! We have to report it urgently! Canalha pic.twitter.com/7yHAmgLFO8",fake,2019-04-27 18:24,265,497,https://twitter.com/goulart_lenita/status/1122250173235724289
1575,1.121024582201348e+18,mst brumadinho,MST holds political act in support of the families of Brumadinho The Movement of Landless Rural Workers promotes cultural political act in solidarity with the families of Vale's crime tragedy in Br ... http: // planetamg.com.br/mst-realiza-at the-politician-in-support-the-families-of-brumadinho /… pic.twitter.com/cFHSkAxOKh,true,2019-04-24 9:14,0,0,https://twitter.com/planetamgbr/status/1121024582201348096
1578,1.114222971365802e+18,mst brumadinho,MST calls for an act this Friday (5) against Vale's crimes in Brumadinho - Diário Causa Operária https: // www. causaoperaria.org.br/mst-convoca-at o-this-friday-6-against-the-crimes-of-the-valley-in-brumadinho / #. XKeUj15-TIg.twitter…,true,2019-04-05 14:47,2,2,https://twitter.com/linneydias/status/1114222971365801984
1582,1.1141581035352146e+18,mst brumadinho,"MST CALLS FOR POLITICAL ACT IN SUPPORT OF LANDLESS AFFECTED BY MINING In Minas Gerais, landless families are fighting the effects of Vale's crime in Brumadinho in action this Friday (05) Photo: MST Nesta ... http: // planetamg .com.br / mst-summons-at-the-political-in-support-to-the-landless-affected-by-mining /… pic.twitter.com/jl7997yHKw",true,2019-04-05 10:29,1,1,https://twitter.com/planetamgbr/status/1114158103535214592
1595,1.106686004541444e+18,mst brumadinho,"For the life of women, we are all Marielle. ""Yesterday 400 women from @MST _Oficial and from the Movement for Popular Sovereignty in Mining (MAM) blocked the passage of a train from Vale near #Brumadinho. Https: // www. Sul21.com .br / movements / 201 9/03 / women-of-the-mst-and-of-the-mam-lock-passage-of-the-train-of-the-valley-in-minas-gerais / #. XIpI72LFkl4.twitter… #QuemMandouMatarMarielle pic. twitter.com/AcmSWVXgaH """,true,2019-03-15 19:37,13,13,https://twitter.com/PersonalEscrito/status/1106686004541444096
1597,1.106542039955632e+18,mst brumadinho,"For the deaths of Brumadinho and Marielle, MST women block the train in Sarzedo https: // www. Hojeemdia.com.br/horizontes/por -mortos-de-brumadinho-and-marielle-women-of-mst-block-train-in-sarzedo-1.700858…",true,2019-03-15 10:05,0,0,https://twitter.com/robertofarmacia/status/1106542039955632129
1606,1.1062763950287626e+18,mst brumadinho,They were protesting against Vale's impunity in the Brumadinho case and on behalf of Marielle (today 1 year ago she was murdered and the investigations are not over yet).,true,2019-03-14 16:30,0,0,https://twitter.com/ExitGarden/status/1106276395028762625
1618,1.1062124441359236e+18,mst brumadinho,"400 landless women denounce the mass murder with the rupture of the Brumadinho dam, on this day that completes 1 year of the death of Marielle Franco. The MST women stopped Vale's train that transports iron ore extracted from the region: https: // www. sul21.com.br/areazero/2019/ 03 / pm-repress-with-bombs-and-rubber-bullets-women-who-blocked-train-from-the-valley /…",true,2019-03-14 12:16,38,77,https://twitter.com/depmarcon/status/1106212444135923717
1619,1.1061907170666618e+18,mst brumadinho,"#FlorescerPorMarielle | Check out more photos of the action taken by the women of the MST and MAM in today's action in Minas Gerais, when they occupied Vale's tracks to denounce the company's crime in Brumadinho and also the murder of Marielle Franco as #ValeAssassina pic.twitter. com / Fetv3Q46Vh",true,2019-03-14 10:49,8,8,https://twitter.com/frentebrasilpop/status/1106190717066661888
1626,1.106157766819922e+18,mst brumadinho,"Action by the MST and MAB blocked an ore train in Sarzedo, a city next to Brumadinho (MG), criticized a predatory mining model and asked Marielle for justice. The Military Police acted violently and injured 10 people. https: // www. brasildefato.com.br/2019/03/14/mov imentos-occupation-railway-of-the-valley-for-fair-a-brumadinho-and-marielle-pm-reprime /…",true,2019-03-14 8:38,22,35,https://twitter.com/Brasil_de_Fato/status/1106157766819921920
1647,1.097526799255376e+18,mst brumadinho,"In Minas Gerais, MST camps are affected by the Brumadinho dam rupture https: // soundcloud.com/redebrasilatua l / in-minas-gerais-campgrounds-of-mst-are-affected-by-the-dam-rupture- de-brumadinho-1? utm_source = soundcloud & utm_campaign = share & utm_medium = facebook ...",true,2019-02-18 13:02,0,0,https://twitter.com/bortinho/status/1097526799255375878
1945,1.1247527580101508e+18,gleisi senna,False message attributed to Gleisi Hoffmann disparaging Ayrton Senna | Revista Fórum https: // www. revistaforum.com.br/e-falsa-mensag em-attributed-to-gleisi-hoffmann-demeaning-ayrton-senna /…,true,2019-05-04 16:08,0,0,https://twitter.com/Jorginaguimarae/status/1124752758010150912
1948,1.124747873529344e+18,gleisi senna,It is a false message attributed to Gleisi Hoffmann disparaging Ayrton Senna https: // www. revistaforum.com.br/e-falsa-mensag em-attributed-to-gleisi-hoffmann-demeaning-ayrton-senna /… via @revistaforum,true,2019-05-04 15:49,0,0,https://twitter.com/redecastorphoto/status/1124747873529344001
1949,1.124741087623512e+18,gleisi senna,It is #FAKE that Gleisi Hoffmann said he sees no reason to pay tribute to Senna https: // g1.globo.com/fato-ou-fake/n oticia / 2019/05/03 / e-fake-que-gleisi-hoffmann- said-that-don't-see-reasons-for-tributes-to-senna.ghtml… #fake,true,2019-05-04 15:22,0,0,https://twitter.com/allancmello/status/1124741087623512070
1959,1.1246931627134076e+18,gleisi senna,Gleisi Hoffmann is the target of fake news regarding the tributes to the pilot Ayrton Senna https: // blogdacidadania.com.br/2019/05/gleisi -hoffmann-and-target-of-fake-news-in-relation-to-the-tributes -to-pilot-ayrton-senna /…,true,2019-05-04 12:12,0,0,https://twitter.com/gojammaj/status/1124693162713407494
1965,1.12466131208312e+18,gleisi senna,"It doesn't change anything! Gleisi Hoffman herself is just a big, but very big fake. To speak ill of Senna, no, but to praise Maduro and the dictatorship in Venezuela, yes, that is a fact!",fake,2019-05-04 10:05,0,0,https://twitter.com/cacajema1/status/1124661312083120128
1993,1.1244374386996468e+18,gleisi senna,Gleisi's speech about Ayrton Senna that circulates on social networks is false https: // pt.org.br/fala-de-gleisi -sobre-ayrton-senna-que-circula-nos-social-networks-e-falsa / # .XMy9lDo4Az8.twitter ...,fake,2019-05-03 19:15,0,0,https://twitter.com/UsielRios/status/1124437438699646976
2000,1.1243637943717642e+18,gleisi senna,"The naughty @gleisi comparing Senna there, thief bastard is awesome. pic.twitter.com/7bO0zdwSxM",fake,2019-05-03 14:23,0,0,https://twitter.com/biologo_ricardo/status/1124363794371764224
2005,1.1240138987247288e+18,gleisi senna,"Our dear @gleisi said she sees no reason to pay homage to Airton Senna, let alone for a poll who deserves it?",fake,2019-05-02 15:12,0,0,https://twitter.com/Everly78093984/status/1124013898724728832
2008,1.1237965626924564e+18,gleisi senna,"When I think I've heard all the bullshit from Gleisi, she excels. She can speak ill of Senna, champion, proud of the country, rich but honest, she was embarrassed by her idol, children are rich! See how bandits understand each other: She says q Pt is based on Jesus and Lula compares to Jesus",fake,2019-05-02 0:49,0,1,https://twitter.com/MarizaSiribeli/status/1123796562692456449
2386,1.1247531535582944e+18,skin died,"No, the former Brazilian soccer player Pelé did not die. Or glossing over Mark Twain, the fake news ""about Pelé's death is manifestly exaggerated .... https: // poligrafo.sapo.pt/fact-check/men sagem-viral-no-whatsapp-pele-died-today- for-morning-in-2019-at-79-years-of-age… """,true,2019-05-04 16:10,1,1,https://twitter.com/JornalPoligrafo/status/1124753153558294528
2402,1.124395290184708e+18,skin died,Pele died!,fake,2019-05-03 16:28,0,0,https://twitter.com/HenriqueMHeinz/status/1124395290184708096
2475,1.1240241005471128e+18,skin died,Guys you saw that Pelé died .... very sad ...,fake,2019-05-02 15:53,0,0,https://twitter.com/viteeeera/status/1124024100547112960
3388,1.1232483107630408e+18,urca nudism,"Have PT, PSOL and PCdoB transformed Praia Vermelha (Urca) into a nudist beach? Know that this news, besides being FALSE, does not make sense! See why by reading this fact-checking article: https: // www. rumors.org/politica/pt-ps ol-pcdob-praia-Vermelha-nudismo.html… pic.twitter.com/loSc1jAAbj",true,2019-04-30 12:30,0,0,https://twitter.com/Arq_MauTavaresS/status/1123248310763040771
3389,1.1228103494330532e+18,urca nudism,"RED BEACH, next to Morro da Urca, turning into a nudist beach ... !!! * The intention is to confront the military, who have units on this beach, waiting for a reprisal, so that there is a confrontation and then call the military gorillas truculent . Everything orchestrated by PT, Psol PCdoB",fake,2019-04-29 7:30,7,17,https://twitter.com/DrJacobino/status/1122810349433053184
3392,1.117824405315285e+18,urca nudism,"Red beach, next to Morro da Urca becoming a nudist beach !! The intention was to confront the military that has a unit in Praia Vermelha, waiting for a reprisal, so that there would be… https: // www. instagram.com/p/BwSFc19hmOr/? utm_source = ig_twitter_share & igshid = 1p8fevzvyb0gx…",fake,2019-04-15 13:18,0,0,https://twitter.com/almirrr/status/1117824405315284993
3398,1.1076598969196788e+18,urca nudism,Shameful!!! Now Praia da Urca is Praia de Urca. Nudism ??? That's ridiculous!!*,fake,2019-03-18 12:07,0,0,https://twitter.com/SarinhaSaroca/status/1107659896919678981
2,1.1295253770707844e+18,I live unprepared students,"Could it be that, to reinforce Bolsonaro's controversial speech, Moro would have said that demonstrations would be made by half a dozen unprepared students ""? Make no mistake, as the statement is FALSE! Understand why: https: // aosfatos.org/noticias/moro - did-not-say-that-demonstrations-are-half-dozen-of-unprepared-students /… # EducaçãoÉCoisaSéria """,true,2019-05-17 20:13,0,0,https://twitter.com/Arq_MauTavaresS/status/1129525377070784518
3,1.1295156888700724e+18,I live unprepared students,UP IN THE AIR. Moro did not say that the demonstrations are 'half a dozen unprepared students'. https: // aosfatos.org/noticias/moro- não-said-that-demonstrations-are-half-dozen-of-unprepared-students /… pic.twitter.com/YGuXjAak3N,true,2019-05-17 19:35,25,76,https://twitter.com/aosfatos/status/1129515688870072321
4,1.1294606476228484e+18,I live unprepared students,Moro did not say that the demonstrations are 'half a dozen unprepared students'. Read more at: http: // bit.ly/2HzkiMI via Aos Fatos | In search of truth in politics. # fakenão #fakenews #FactCheck #CheckBR #SerMultimidia,true,2019-05-17 15:56,0,0,https://twitter.com/albertogpo/status/1129460647622848512
5,1.1294094412065504e+18,I live unprepared students,"After Bolsonaro, Moro also attacks students. He says they are ""unprepared"". Look who's Talking...",fake,2019-05-17 12:32,40,172,https://twitter.com/rfalcao13/status/1129409441206550528
6,1.1293659272613478e+18,I live unprepared students,"´´Half a dozen unprepared students will not disturb the government`` It is Moro showing his true face. False, liar (... half a dozen ?? !!), mocking, blinded by power. It shows that it has already adapted to the boss's style. And what government do you refer to? because I don't see any.",fake,2019-05-17 9:39,0,3,https://twitter.com/jcmigliari/status/1129365927261347843
10,1.129063027469357e+18,I live unprepared students,"Sheriff Moro says that half a dozen unprepared students were at the demonstrations. Unprepared are you mareco from Curitiba who ran 5 times in the OAB race. Tell us there Conje ""?""",fake,2019-05-16 13:36,0,1,https://twitter.com/Deitos_Geovani/status/1129063027469357056
12,1.1289654260446454e+18,I live unprepared students,"Half a dozen unprepared students will not hinder the government ""-Sérgio Moro""",fake,2019-05-16 7:08,0,1,https://twitter.com/castrodedeia1/status/1128965426044645376
26,1.128721606128427e+18,cocaine pins ufes,"It is a LIE that pins for crack and cocaine consumption have been found at UFES (this is material collected during an action carried out by an NGO in a mangrove in Santos, SP): http: // bit.ly/2YyvpMS (via @CienciaNoBrasil )",true,2019-05-15 14:59,0,1,https://twitter.com/gabrielamra/status/1128721606128427010
43,1.128483509650305e+18,cocaine pins ufes,"Another fake news trying to demoralize the feds. @uneoficial UFES student collects several cocaine pins used on campus! ""http: // www. e-farsas.com/aluna-da-ufes- collects-several-cocaine-pins-used-on-campus-will-be-true.html…""",true,2019-05-14 23:13,0,1,https://twitter.com/vivi11_gui/status/1128483509650305024
131,1.1297170462946016e+18,maria da penha damares law,It is #FAKE that Damares Alves defended repeal of the Maria da Penha Law https: // g1.globo.com/fato-ou-fake/n oticia / 2019/05/17 / e-fake-que-damares-alves-defended- revocation-of-law-maria-of-penha.ghtml… #fatooufake,true,2019-05-18 8:55,0,0,https://twitter.com/Engracadinha/status/1129717046294601731
133,1.1295408745081652e+18,maria da penha damares law,Only this one was missing! It is #FAKE that Damares Alves defended the repeal of the Maria da Penha Law | Fact or Fake | G1 https: // g1.globo.com/fato-ou-fake/n oticia / 2019/05/17 / e-fake-que-damares-alves-defended-repeal-da-lei-maria-da-penha. ghtml ...,true,2019-05-17 21:15,0,2,https://twitter.com/Kipkuba/status/1129540874508165120
136,1.1294636291226378e+18,maria da penha damares law,False text states that Minister Damares will repeal the Maria da Penha Law http: // dlvr.it/R4w4yB pic.twitter.com/iKW4Jcezob,true,2019-05-17 16:08,0,0,https://twitter.com/fabianogomespb/status/1129463629122637825
141,1.1293533592433376e+18,maria da penha damares law,"A message circulates on social networks saying that Minister Damares Alves will revoke the Maria da Penha Law. The Ministry of Women, Family and Human Rights has denied that the minister intends to end the law. and said that Damares considers it one of the best in the world ""pic.twitter.com/C3w26kshOy""",true,2019-05-17 8:49,0,0,https://twitter.com/br_inova/status/1129353359243337728
144,1.12932568686968e+18,maria da penha damares law,"A message circulates on social networks saying that Minister Damares Alves will revoke the Maria da Penha Law. The Ministry of Women, Family and Human Rights has denied that the minister intends to end the law. and said that Damares considers it one of the best in the world ""#UOLCONFERE pic.twitter.com/zty1l9uzy8""",true,2019-05-17 7:00,14,61,https://twitter.com/UOLNoticias/status/1129325686869680128
146,1.1291090362328433e+18,maria da penha damares law,Damares will not revoke Lei Maria da Penha or say that the text 'is of the devil' https: // aosfatos.org/noticias/damar es-nao-revogara-lei-maria-da-penha-nor-said-that-text-and -do-devil /… #factchecking via @aosfatos,true,2019-05-16 16:39,0,0,https://twitter.com/MaristelaBolso1/status/1129109036232843265
166,1.1283675052008858e+18,maria da penha damares law,"Damares, human rights minister ""said that the Maria da Penha Law is a devil's law because the Bible says that a man has the right to"" correct ""his wife. Minister Onix Lorenzoni said that women prefer weapons to the Maria da Penha Law. that's right? With the word women. """,fake,2019-05-14 15:32,5,9,https://twitter.com/LuceniltonM/status/1128367505200885761
296,1.0015523367524024e+18,bridge river niteroi crack,"kkk .. the staff problematizing the supposed crack ""of the rio niteroi bridge that in vdd there is an existing gap just so that an accident does not occur if the concrete and steel undergo some kind of expansion / expansion""",true,2018-05-29 16:54,1,21,https://twitter.com/idkvasconcellos/status/1001552336752402433
307,6.646044754038456e+17,bridge river niteroi crack,GALLERY >>>> Anyone who can disclose ... the Rio Niterói Bridge presents a tremendous crack ... someone needs to take ... http: // fb.me/4hhyscWrc,fake,2015-11-11 21:43,0,0,https://twitter.com/jocabeleireiro/status/664604475403845632
310,6.1866457683021e+17,bridge river niteroi crack,Crack in the bridge in Rio Niterói this could be the beginning of a great tragedy. Pass it on http: // fb.me/7uK9aAXSH,fake,2015-07-08 3:15,0,0,https://twitter.com/Gleisondropship/status/618664576830210048
327,4.763792839762248e+17,bridge river niteroi crack,"Guys help before a big accident happens !!! A big crack in the bridge Rio Niteroi, that is the will ... http: // fb.me/19RZI4Bto",fake,2014-06-10 12:04,0,0,https://twitter.com/Charlesblackout/status/476379283976224768
331,4.5445751671463526e+17,bridge river niteroi crack,The Niterói River Bridge has a sinister crack,fake,2014-04-11 0:14,0,1,https://twitter.com/JackPellenz/status/454457516714635264
